"","beh_chat","beh_call","beh_strg","subject"
"125",0,0,0,"squirrel 14"
"126",0,0,0,"squirrel 14"
"127",0,0,0,"squirrel 14"
"128",0,0,0,"squirrel 14"
"129",0,0,0,"squirrel 14"
"130",0,0,0,"squirrel 14"
"131",0,0,0,"squirrel 14"
"132",0,0,0,"squirrel 15"
"133",0,0,0,"squirrel 15"
"134",0,0,0,"squirrel 15"
"135",0,0,0,"squirrel 15"
"136",0,0,0,"squirrel 15"
"137",0,0,0,"squirrel 15"
"138",0,0,0,"squirrel 15"
"139",0,0,0,"squirrel 15"
"140",0,0,0,"squirrel 15"
"141",0,0,0,"squirrel 15"
"142",0,0,0,"squirrel 15"
"143",0,0,0,"squirrel 15"
"144",0,0,0,"squirrel 15"
"145",0,0,0,"squirrel 15"
"146",0,0,0,"squirrel 15"
"147",0,0,0,"squirrel 15"
"148",0,0,0,"squirrel 15"
"149",0,0,0,"squirrel 15"
"150",0,0,0,"squirrel 15"
"151",0,0,0,"squirrel 15"
"152",0,0,0,"squirrel 15"
"153",0,0,0,"squirrel 15"
"154",0,0,1,"squirrel 16"
"155",0,0,0,"squirrel 16"
"156",0,0,0,"squirrel 16"
"157",0,0,0,"squirrel 16"
"158",0,0,0,"squirrel 16"
"159",0,0,0,"squirrel 16"
"160",0,0,0,"squirrel 16"
"161",0,0,0,"squirrel 17"
"162",0,0,0,"squirrel 17"
"163",0,0,0,"squirrel 17"
"164",0,0,0,"squirrel 18"
"165",1,0,0,"squirrel 18"
"166",0,0,0,"squirrel 18"
"167",0,0,1,"squirrel 19"
"168",0,0,1,"squirrel 20"
"169",0,0,0,"squirrel 20"
"170",0,0,0,"squirrel 20"
"171",0,0,0,"squirrel 20"
"172",0,0,0,"squirrel 20"
